time_sec,left_motor,right_motor,forward,backward,left_turn,right_turn,serial_command
15.2336,0,0,0,0,0,0,L0 R0
15.2834,0,0,0,0,0,0,L0 R0
15.3335,0,0,0,0,0,0,L0 R0
15.3828,0,0,0,0,0,0,L0 R0
15.4329,0,0,0,0,0,0,L0 R0
15.4837,0,0,0,0,0,0,L0 R0
15.5346,0,0,0,0,0,0,L0 R0
15.5846,0,0,0,0,0,0,L0 R0
15.634,0,0,0,0,0,0,L0 R0
15.6846,0,0,0,0,0,0,L0 R0
15.7338,0,0,0,0,0,0,L0 R0
15.7846,0,0,0,0,0,0,L0 R0
15.8356,0,0,0,0,0,0,L0 R0
15.8864,0,0,0,0,0,0,L0 R0
15.936,0,0,0,0,0,0,L0 R0
15.9867,0,0,0,0,0,0,L0 R0
16.0359,0,0,0,0,0,0,L0 R0
16.0865,0,0,0,0,0,0,L0 R0
16.1365,0,0,0,0,0,0,L0 R0
16.1863,0,0,0,0,0,0,L0 R0
16.2358,0,0,0,0,0,0,L0 R0
16.2864,0,0,0,0,0,0,L0 R0
16.3359,0,0,0,0,0,0,L0 R0
16.3865,0,0,0,0,0,0,L0 R0
16.4362,0,0,0,0,0,0,L0 R0
16.4867,0,0,0,0,0,0,L0 R0
16.5371,0,0,0,0,0,0,L0 R0
16.5869,0,0,0,0,0,0,L0 R0
16.6378,0,0,0,0,0,0,L0 R0
16.6875,0,0,0,0,0,0,L0 R0
16.7379,0,0,0,0,0,0,L0 R0
16.7901,0,0,0,0,0,0,L0 R0
16.84,0,0,0,0,0,0,L0 R0
16.89,0,0,0,0,0,0,L0 R0
16.9399,0,0,0,0,0,0,L0 R0
16.9905,0,0,0,0,0,0,L0 R0
17.0414,0,0,0,0,0,0,L0 R0
17.0909,0,0,0,0,0,0,L0 R0
17.1406,0,0,0,0,0,0,L0 R0
17.1912,0,0,0,0,0,0,L0 R0
17.2413,0,0,0,0,0,0,L0 R0
17.2913,0,0,0,0,0,0,L0 R0
17.3412,0,0,0,0,0,0,L0 R0
17.3913,0,0,0,0,0,0,L0 R0
17.4413,0,0,0,0,0,0,L0 R0
17.4912,0,0,0,0,0,0,L0 R0
17.541,0,0,0,0,0,0,L0 R0
17.5909,0,0,0,0,0,0,L0 R0
17.6408,0,0,0,0,0,0,L0 R0
17.6906,0,0,0,0,0,0,L0 R0
17.7406,0,0,0,0,0,0,L0 R0
17.7913,0,0,0,0,0,0,L0 R0
17.8414,0,0,0,0,0,0,L0 R0
17.8912,0,0,0,0,0,0,L0 R0
17.941,0,0,0,0,0,0,L0 R0
17.9909,0,0,0,0,0,0,L0 R0
18.0408,0,0,0,0,0,0,L0 R0
18.0907,0,0,0,0,0,0,L0 R0
18.1413,0,0,0,0,0,0,L0 R0
18.1905,0,0,0,0,0,0,L0 R0
18.2405,0,0,0,0,0,0,L0 R0
18.2904,0,0,0,0,0,0,L0 R0
18.3413,0,0,0,0,0,0,L0 R0
18.3905,0,0,0,0,0,0,L0 R0
18.4405,0,0,0,0,0,0,L0 R0
18.4914,0,0,0,0,0,0,L0 R0
18.5423,0,0,0,0,0,0,L0 R0
18.5922,0,0,0,0,0,0,L0 R0
18.6421,0,0,0,0,0,0,L0 R0
18.6921,0,0,0,0,0,0,L0 R0
18.742,0,0,0,0,0,0,L0 R0
18.7919,0,0,0,0,0,0,L0 R0
18.8419,0,0,0,0,0,0,L0 R0
18.8917,0,0,0,0,0,0,L0 R0
18.9414,0,0,0,0,0,0,L0 R0
18.9924,0,0,0,0,0,0,L0 R0
19.0432,0,0,0,0,0,0,L0 R0
19.0931,0,0,0,0,0,0,L0 R0
19.1432,0,0,0,0,0,0,L0 R0
19.1933,0,0,0,0,0,0,L0 R0
19.2444,0,0,0,0,0,0,L0 R0
19.2953,0,0,0,0,0,0,L0 R0
19.3452,0,0,0,0,0,0,L0 R0
19.3951,0,0,0,0,0,0,L0 R0
19.4449,0,0,0,0,0,0,L0 R0
19.4958,0,0,0,0,0,0,L0 R0
19.5456,0,0,0,0,0,0,L0 R0
19.5955,0,0,0,0,0,0,L0 R0
19.6454,0,0,0,0,0,0,L0 R0
19.6964,0,0,0,0,0,0,L0 R0
19.7471,0,0,0,0,0,0,L0 R0
19.797,0,0,0,0,0,0,L0 R0
19.8468,0,0,0,0,0,0,L0 R0
19.8968,0,0,0,0,0,0,L0 R0
20.969,0,0,0,0,0,0,L0 R0
22.5859,0,0,0,0,0,0,L0 R0
24.2013,0,0,0,0,0,0,L0 R0
25.8175,0,0,0,0,0,0,L0 R0
27.4336,0,0,0,0,0,0,L0 R0
29.0499,0,0,0,0,0,0,L0 R0
30.6661,0,0,0,0,0,0,L0 R0
32.2822,0,0,0,0,0,0,L0 R0
33.8984,0,0,0,0,0,0,L0 R0
35.5145,0,0,0,0,0,0,L0 R0
37.1307,0,0,0,0,0,0,L0 R0
38.7468,0,0,0,0,0,0,L0 R0
40.363,0,0,0,0,0,0,L0 R0
41.9792,0,0,0,0,0,0,L0 R0
43.5953,0,0,0,0,0,0,L0 R0
45.2114,0,0,0,0,0,0,L0 R0
46.8276,0,0,0,0,0,0,L0 R0
48.4437,0,0,0,0,0,0,L0 R0
50.0599,0,0,0,0,0,0,L0 R0
51.676,0,0,0,0,0,0,L0 R0
53.2922,0,0,0,0,0,0,L0 R0
54.9084,0,0,0,0,0,0,L0 R0
56.5245,0,0,0,0,0,0,L0 R0
58.1408,0,0,0,0,0,0,L0 R0
59.7568,0,0,0,0,0,0,L0 R0
61.3729,0,0,0,0,0,0,L0 R0
62.9891,0,0,0,0,0,0,L0 R0
64.6053,0,0,0,0,0,0,L0 R0
66.2215,0,0,0,0,0,0,L0 R0
67.8376,0,0,0,0,0,0,L0 R0
69.4538,0,0,0,0,0,0,L0 R0
71.07,0,0,0,0,0,0,L0 R0
72.6861,0,0,0,0,0,0,L0 R0
74.3023,0,0,0,0,0,0,L0 R0
75.9185,0,0,0,0,0,0,L0 R0
77.5346,0,0,0,0,0,0,L0 R0
79.1508,0,0,0,0,0,0,L0 R0
80.7669,0,0,0,0,0,0,L0 R0
82.3831,0,0,0,0,0,0,L0 R0
83.9992,0,0,0,0,0,0,L0 R0
85.6157,0,0,0,0,0,0,L0 R0
87.2316,0,0,0,0,0,0,L0 R0
88.8477,0,0,0,0,0,0,L0 R0
90.4639,0,0,0,0,0,0,L0 R0
92.08,0,0,0,0,0,0,L0 R0
93.6962,0,0,0,0,0,0,L0 R0
95.3124,0,0,0,0,0,0,L0 R0
96.9286,0,0,0,0,0,0,L0 R0
98.5447,0,0,0,0,0,0,L0 R0
100.1608,0,0,0,0,0,0,L0 R0
101.777,0,0,0,0,0,0,L0 R0
103.3932,0,0,0,0,0,0,L0 R0
105.0094,0,0,0,0,0,0,L0 R0
106.6256,0,0,0,0,0,0,L0 R0
108.2418,0,0,0,0,0,0,L0 R0
109.8579,0,0,0,0,0,0,L0 R0
111.4741,0,0,0,0,0,0,L0 R0
113.0902,0,0,0,0,0,0,L0 R0
114.7064,0,0,0,0,0,0,L0 R0
116.3226,0,0,0,0,0,0,L0 R0
117.9387,0,0,0,0,0,0,L0 R0
119.5549,0,0,0,0,0,0,L0 R0
121.1711,0,0,0,0,0,0,L0 R0
122.7872,0,0,0,0,0,0,L0 R0
124.4035,0,0,0,0,0,0,L0 R0
126.0196,0,0,0,0,0,0,L0 R0
127.6357,0,0,0,0,0,0,L0 R0
129.2519,0,0,0,0,0,0,L0 R0
130.8681,0,0,0,0,0,0,L0 R0
132.4843,0,0,0,0,0,0,L0 R0
134.1005,0,0,0,0,0,0,L0 R0
135.7167,0,0,0,0,0,0,L0 R0
137.3328,0,0,0,0,0,0,L0 R0
138.9489,0,0,0,0,0,0,L0 R0
140.5651,0,0,0,0,0,0,L0 R0
142.1813,0,0,0,0,0,0,L0 R0
143.7975,0,0,0,0,0,0,L0 R0
145.4136,0,0,0,0,0,0,L0 R0
147.0299,0,0,0,0,0,0,L0 R0
148.646,0,0,0,0,0,0,L0 R0
150.2622,0,0,0,0,0,0,L0 R0
151.8783,0,0,0,0,0,0,L0 R0
153.4945,0,0,0,0,0,0,L0 R0
154.9267,0,0,0,0,0,0,L0 R0
154.9412,0,0,0,0,0,0,L0 R0
155.0155,0,0,0,0,0,0,L0 R0
155.0422,0,0,0,0,0,0,L0 R0
155.1105,0,0,0,0,0,0,L0 R0
155.146,0,0,0,0,0,0,L0 R0
156.7267,0,0,0,0,0,0,L0 R0
158.3428,0,0,0,0,0,0,L0 R0
159.959,0,0,0,0,0,0,L0 R0
161.5753,0,0,0,0,0,0,L0 R0
163.1914,0,0,0,0,0,0,L0 R0
164.8076,0,0,0,0,0,0,L0 R0
166.4242,0,0,0,0,0,0,L0 R0
168.0399,0,0,0,0,0,0,L0 R0
169.6561,0,0,0,0,0,0,L0 R0
171.2723,0,0,0,0,0,0,L0 R0
172.8885,0,0,0,0,0,0,L0 R0
174.5047,0,0,0,0,0,0,L0 R0
176.1208,0,0,0,0,0,0,L0 R0
177.737,0,0,0,0,0,0,L0 R0
179.3532,0,0,0,0,0,0,L0 R0
180.9694,0,0,0,0,0,0,L0 R0
182.5855,0,0,0,0,0,0,L0 R0
184.2018,0,0,0,0,0,0,L0 R0
185.8179,0,0,0,0,0,0,L0 R0
187.4341,0,0,0,0,0,0,L0 R0
189.0503,0,0,0,0,0,0,L0 R0
190.6664,0,0,0,0,0,0,L0 R0
192.2826,0,0,0,0,0,0,L0 R0
193.8988,0,0,0,0,0,0,L0 R0
195.515,0,0,0,0,0,0,L0 R0
197.1311,0,0,0,0,0,0,L0 R0
198.7473,0,0,0,0,0,0,L0 R0
200.3634,0,0,0,0,0,0,L0 R0
201.9796,0,0,0,0,0,0,L0 R0
203.5958,0,0,0,0,0,0,L0 R0
205.212,0,0,0,0,0,0,L0 R0
206.8282,0,0,0,0,0,0,L0 R0
208.4443,0,0,0,0,0,0,L0 R0
210.0606,0,0,0,0,0,0,L0 R0
211.6768,0,0,0,0,0,0,L0 R0
213.293,0,0,0,0,0,0,L0 R0
214.9091,0,0,0,0,0,0,L0 R0
216.5252,0,0,0,0,0,0,L0 R0
218.1415,0,0,0,0,0,0,L0 R0
219.7576,0,0,0,0,0,0,L0 R0
221.3739,0,0,0,0,0,0,L0 R0
222.99,0,0,0,0,0,0,L0 R0
